LSOA,LA CODE,LA NAME,GOR CODE,GOR NAME,2004IMD SCORE,2004RANK OF IMD (where 1 is most deprived),2004INCOME SCORE,2004RANK OF INCOME SCORE (where 1 is most deprived),2004EMPLOYMENT SCORE,2004RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2004HEALTH DEPRIVATION AND DISABILITY SCORE,2004RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2004EDUCATION SKILLS AND TRAINING SCORE,2004RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2004BARRIERS TO HOUSING AND SERVICES SCORE,2004RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2004CRIME AND DISORDER SCORE,2004RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2004LIVING ENVIRONMENT SCORE,2004RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2007IMD SCORE,2007RANK OF IMD (where 1 is most deprived),2007INCOME SCORE,2007RANK OF INCOME SCORE (where 1 is most deprived),2007EMPLOYMENT SCORE,2007RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2007HEALTH DEPRIVATION AND DISABILITY SCORE,2007RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2007EDUCATION SKILLS AND TRAINING SCORE,2007RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2007BARRIERS TO HOUSING AND SERVICES SCORE,2007RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2007CRIME AND DISORDER SCORE,2007RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2007LIVING ENVIRONMENT SCORE,2007RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2010imd_score,2010imd_rank,2010income_score,2010income_rank,2010employ_score,2010employ_rank,2010healthdd_score,2010healthdd_rank,2010edust_score,2010edust_rank,2010housesb_score,2010housesb_rank,2010crimed_score,2010crimed_rank,2010environl_score,2010environl_rank
E01000016,00AB,Barking and Dagenham,H,London,30.91,7752,0.2,7853,0.13,8615,0.5,9381,47.67,3585,28.61,8158,0.05,15477,26.23,10494,31.96,7400,0.26,6044,0.13,8700,0.51,9386,44.75,4183,24.69,11489,0.28,12152,30.36,8439,31.64,7495,0.23,6671,0.13,8336,0.4,10404,42.64,4637,26.2,10311,0.5,9142,27.62,9561
E01000017,00AB,Barking and Dagenham,H,London,33.19,6898,0.24,6053,0.15,6567,0.91,5179,39.42,5311,29.41,7570,-0.31,20535,20.82,13411,34.01,6628,0.29,4669,0.15,6625,1.03,4218,37.16,5992,24.52,11616,-0.13,18131,20.59,13438,35.34,6099,0.29,4153,0.14,6752,1.06,3680,33.5,7127,26.06,10426,0.08,15093,24.48,11135
E01000018,00AB,Barking and Dagenham,H,London,29.95,8155,0.23,6359,0.11,11430,0.37,10966,48.67,3400,27.89,8768,0.33,11610,18.66,14864,32.65,7112,0.28,5010,0.13,7987,0.6,8292,40.18,5220,24.64,11523,0.46,9590,21.68,12765,32.63,7073,0.25,5788,0.13,7898,0.56,8444,40.75,5124,25.97,10523,0.6,7751,21.74,12738
E01000019,00AB,Barking and Dagenham,H,London,30.02,8121,0.2,8034,0.14,8114,0.75,6674,33.42,7027,26.94,9587,-0.03,16554,29.38,9012,31.98,7386,0.23,7343,0.14,7127,0.69,7364,31.39,7816,23.87,12281,0.47,9536,37.47,5901,32.85,6993,0.28,4654,0.12,9267,0.55,8527,30.56,8126,25.69,10755,0.66,6998,33.31,7200
E01000020,00AB,Barking and Dagenham,H,London,34.13,6529,0.25,5414,0.14,7414,0.78,6394,39.67,5239,27.66,8960,0.3,11970,29.1,9162,36.45,5769,0.27,5546,0.14,7018,1,4469,41.52,4907,24.02,12113,0.6,7874,35.82,6469,34.19,6486,0.26,5412,0.13,7821,0.81,5810,33.91,6971,26.19,10322,0.3,11878,39.39,5190
E01000021,00AB,Barking and Dagenham,H,London,34.91,6267,0.28,4333,0.13,9248,0.58,8477,43.2,4434,28.77,8039,0.1,14818,41.4,4601,33.87,6673,0.28,5329,0.11,10745,0.61,8224,38.87,5553,25.52,10739,0.38,10778,50.72,2486,34.03,6542,0.27,4858,0.13,8253,0.4,10343,35.94,6366,27.9,8819,0.65,7127,36.2,6177
E01000022,00AB,Barking and Dagenham,H,London,29.91,8168,0.2,7745,0.12,10487,0.57,8553,40.23,5100,28.39,8331,0.39,10778,25.37,10929,30.2,8106,0.26,5858,0.1,12993,0.55,8880,40.87,5062,24.77,11411,0.55,8494,27.47,9708,28.62,8839,0.23,6884,0.11,11371,0.18,13281,34.96,6650,27.27,9362,0.6,7842,26.89,9905
E01000023,00AB,Barking and Dagenham,H,London,23.6,11352,0.13,12512,0.08,18124,0.57,8528,26.69,9688,29.37,7600,0.63,7618,22.99,12137,27.99,9103,0.19,9881,0.09,15598,0.57,8582,24.6,10742,26.73,9696,1.25,2189,31.74,7906,23.9,11340,0.19,9175,0.08,16488,0.24,12556,25.24,10421,29.13,7835,0.28,12145,29.46,8747
E01000024,00AB,Barking and Dagenham,H,London,29.16,8511,0.2,7600,0.12,10274,0.51,9215,41.24,4885,27,9542,-0.03,16632,28.73,9303,29.47,8414,0.24,6954,0.11,10481,0.57,8615,37.33,5941,24.4,11735,0.3,11908,29.16,8982,29.3,8512,0.23,6575,0.1,11822,0.42,10041,35.39,6537,26.21,10298,0.53,8646,28.45,9169
E01000025,00AB,Barking and Dagenham,H,London,31.73,7431,0.24,5777,0.13,8410,0.63,7910,49.53,3230,27.36,9226,-0.34,20987,18.8,14775,31.7,7514,0.25,6288,0.13,8272,0.54,9012,49.31,3337,24.65,11516,0.17,13671,21.99,12573,32.73,7034,0.25,5694,0.14,7451,0.46,9621,40.2,5259,26.37,10137,0.7,6649,19.82,13975
E01000026,00AB,Barking and Dagenham,H,London,31.1,7671,0.28,4411,0.12,9768,0.44,10184,29.23,8547,25.46,10855,0.47,9646,30.03,8717,41.76,4202,0.37,2512,0.17,5144,0.74,6845,29.51,8510,24.42,11711,1.01,3801,47.88,3066,36.55,5669,0.29,4018,0.13,7963,0.5,9153,29.93,8373,25.89,10590,1.14,2623,39.17,5263
E01000027,00AB,Barking and Dagenham,H,London,47.07,2840,0.34,2610,0.14,7936,0.54,8926,50.6,3058,37.36,3155,1.82,426,42.81,4190,46.47,2990,0.39,1987,0.16,5879,0.83,5933,50.33,3155,29.36,7626,1.37,1578,36.39,6282,49.15,2355,0.33,2757,0.16,5639,0.81,5852,53.45,2635,31.48,6181,1.97,206,40.39,4896
E01000028,00AB,Barking and Dagenham,H,London,41.2,4244,0.35,2314,0.18,5020,0.97,4776,39.64,5249,33.18,5166,0.27,12429,22.75,12272,43.76,3656,0.39,1991,0.19,3629,0.9,5250,43.85,4373,25.57,10690,0.68,6974,26.85,10002,43.01,3695,0.35,2243,0.17,4285,0.97,4420,41.06,5028,30.78,6631,0.62,7598,23.17,11869
E01000029,00AB,Barking and Dagenham,H,London,16.65,16558,0.1,16681,0.08,17372,-0.03,16384,23.16,11495,27.69,8930,-0.33,20749,14.37,18270,19.94,13953,0.13,14930,0.08,15815,0.04,15470,23.66,11232,25.82,10462,0.48,9425,21.24,13041,26.83,9710,0.17,10796,0.1,12889,0.14,14011,26.28,9937,29.77,7341,1.21,2150,21.06,13142
E01000030,00AB,Barking and Dagenham,H,London,44.26,3462,0.3,3469,0.17,5480,0.81,6094,47.4,3626,31.54,6148,1.02,3759,48.63,2846,51.22,2068,0.38,2228,0.18,4047,0.79,6265,38.42,5666,34.07,4622,1.37,1573,68.4,487,52.51,1773,0.39,1341,0.15,6050,0.55,8574,35.54,6483,39.11,2570,1.87,292,61.31,960
E01000031,00AB,Barking and Dagenham,H,London,18.57,14948,0.09,17504,0.07,20033,0.08,14912,15.99,16350,27.03,9507,0.95,4364,20.43,13636,24.52,10902,0.14,14101,0.1,12702,0.22,12940,14.54,17382,24.07,12054,1.44,1301,26.69,10077,26.75,9754,0.19,9297,0.1,12384,0.15,13867,15.92,16341,25.01,11407,1.33,1592,29.24,8826
E01000032,00AB,Barking and Dagenham,H,London,26.84,9619,0.15,10668,0.1,13439,0.18,13439,33.48,7006,27.42,9168,0.91,4687,30.73,8392,28.29,8960,0.17,11231,0.1,12377,0.2,13300,28.77,8822,25.33,10897,1.21,2428,40.45,4974,29.6,8363,0.2,8439,0.11,11238,0.2,13041,30.63,8111,27.42,9238,1.05,3203,33.48,7142
E01000033,00AB,Barking and Dagenham,H,London,35.44,6072,0.23,6226,0.13,8663,0.82,6025,54.12,2532,35.92,3734,0.13,14367,20.52,13574,41,4393,0.33,3417,0.17,5001,0.91,5149,47.5,3642,34.32,4500,0.41,10360,23.23,11874,40.95,4274,0.3,3797,0.15,6517,0.81,5807,44.76,4189,38.4,2817,0.81,5456,25.77,10465
E01000034,00AB,Barking and Dagenham,H,London,29.05,8560,0.22,6766,0.11,11777,0.65,7685,34.92,6551,36.8,3361,-0.08,17371,11.76,20832,33.72,6714,0.29,4789,0.14,7326,0.75,6670,35.1,6612,34.48,4424,0.08,15057,16.5,16338,31.4,7596,0.25,6035,0.13,8538,0.65,7444,29.28,8637,36.21,3729,0.28,12138,15.47,17416
E01000035,00AB,Barking and Dagenham,H,London,20.47,13508,0.09,17569,0.08,17489,0,16053,29.64,8393,32.13,5791,0.18,13614,28.43,9441,24.18,11084,0.15,12297,0.1,12997,0.42,10376,24.36,10856,27.9,8728,0.19,13402,34.76,6807,28.15,9045,0.2,8509,0.11,11123,0.33,11283,26.64,9765,28.13,8649,0.93,4222,24.06,11367
E01000036,00AB,Barking and Dagenham,H,London,19.3,14407,0.1,16741,0.07,18914,0.18,13429,27.58,9286,27.61,9009,0.08,15134,26.87,10160,20.64,13381,0.16,12229,0.08,16088,0.27,12363,23.64,11238,23.53,12589,-0.07,17220,28.92,9088,21.53,12845,0.17,10809,0.07,18233,0.31,11601,24.21,10941,25.22,11195,0.34,11273,23.8,11516
E01000037,00AB,Barking and Dagenham,H,London,18.86,14744,0.08,18553,0.1,12366,-0.07,17032,23.16,11493,24.52,11770,0.7,6879,9.04,23758,22.98,11820,0.11,16761,0.14,7477,-0.01,16191,23.5,11303,23.12,13031,0.84,5292,14.55,17917,22.28,12349,0.13,14048,0.15,6637,0.04,15437,22.46,11938,27.28,9350,-0.27,20275,14.15,18628
E01000038,00AB,Barking and Dagenham,H,London,18.27,15190,0.1,16173,0.08,16573,0.02,15746,27.97,9122,25.53,10791,-0.1,17590,18.96,14668,21.07,13110,0.14,13557,0.09,13726,0.26,12486,27.12,9547,22.45,13727,0.2,13272,21.93,12618,18.87,14866,0.11,16301,0.09,14674,0.1,14500,26.49,9840,22.25,14133,-0.33,21117,28.24,9274
E01000039,00AB,Barking and Dagenham,H,London,18.69,14859,0.09,17427,0.07,20294,0,16029,16.59,15841,40.44,2135,0.43,10190,11.52,21068,19.05,14673,0.13,15007,0.06,20926,0.11,14428,15.84,16365,37.47,3125,0.28,12094,17.11,15890,18.39,15265,0.14,12985,0.06,21567,-0.3,20221,14.96,17133,37,3339,0.31,11778,17.24,15931
E01000040,00AB,Barking and Dagenham,H,London,38.54,5050,0.27,4724,0.19,4171,1.1,3740,39.72,5225,27.06,9466,0.12,14492,28.71,9313,38.92,4983,0.32,3794,0.16,5696,0.93,5058,47.45,3647,24.53,11612,0.57,8203,27.5,9699,38.87,4909,0.32,3081,0.17,4732,0.59,8068,40.56,5176,26.63,9895,0.76,5961,22.05,12522
E01000041,00AB,Barking and Dagenham,H,London,27.38,9357,0.19,8565,0.1,13121,0.27,12320,49.93,3176,28.24,8458,-0.26,19839,26.74,10221,32.41,7207,0.25,6334,0.12,9966,0.36,11229,51.66,2921,24.69,11481,0.38,10728,36.72,6164,32.86,6985,0.25,5777,0.11,10664,0.17,13437,47.18,3699,27.58,9092,0.83,5203,32.4,7555
E01000042,00AB,Barking and Dagenham,H,London,36.85,5603,0.24,5930,0.16,5879,0.8,6224,34.96,6536,35.42,3993,0.74,6471,26.21,10509,39.89,4698,0.34,3203,0.17,4544,0.74,6829,30.06,8305,31.74,5974,0.9,4734,26.44,10216,39.49,4715,0.34,2421,0.16,5348,0.52,8920,29.27,8642,32.28,5694,0.95,4029,22.31,12349
E01000043,00AB,Barking and Dagenham,H,London,26.22,9961,0.16,10345,0.1,13649,0.55,8788,30.99,7898,31.44,6208,0.19,13504,28.29,9511,27.8,9169,0.23,7190,0.1,12676,0.28,12114,36.48,6198,28.63,8144,0.01,16175,33.8,7162,32.94,6958,0.26,5230,0.1,11929,0.44,9892,31.38,7846,30.78,6628,1.17,2429,25.52,10606
E01000044,00AB,Barking and Dagenham,H,London,26.24,9952,0.16,9954,0.1,13728,0.41,10542,28.34,8960,28.27,8441,0.57,8473,32.35,7705,30.25,8084,0.23,7463,0.12,9886,0.38,10884,25.97,10060,26.67,9759,0.76,6020,41.47,4676,31.97,7359,0.21,7788,0.1,12281,0.16,13653,19.63,13634,26.76,9788,1.51,936,50.75,2380
E01000045,00AB,Barking and Dagenham,H,London,33.59,6740,0.21,7111,0.13,9155,0.73,6912,44.28,4210,27.29,9278,0.48,9497,38.21,5548,37.57,5380,0.28,5151,0.13,8679,0.64,7913,48.44,3491,27.23,9279,0.92,4520,42.97,4213,40.12,4529,0.26,5255,0.14,7729,0.47,9501,44.46,4248,31.61,6083,1.51,916,38.76,5384
E01000046,00AB,Barking and Dagenham,H,London,25.13,10535,0.18,8887,0.1,12731,0.38,10833,32.25,7426,28.52,8228,-0.32,20677,25.21,11004,30.77,7879,0.26,6079,0.14,7174,0.56,8776,29.56,8487,26.32,10058,0.1,14812,29.23,8947,28.92,8690,0.26,5151,0.13,7977,0.02,15664,26.58,9798,28.4,8446,0.08,15225,26.36,10177
E01000047,00AB,Barking and Dagenham,H,London,46.43,2974,0.36,1999,0.16,5833,0.94,4984,45.58,3986,32.98,5291,1.36,1741,31.72,7958,49.29,2446,0.46,883,0.17,4586,0.95,4909,39.4,5413,31.15,6363,1.11,3056,38.58,5541,41.66,4069,0.34,2465,0.15,6068,0.53,8791,29,8755,32.54,5522,1.16,2480,40.43,4886
E01000048,00AB,Barking and Dagenham,H,London,57.13,1242,0.47,525,0.22,2596,1.31,2425,49.02,3328,33.58,4920,1.25,2259,30.9,8323,62.38,682,0.59,147,0.24,1534,1.19,3106,47.67,3619,34.5,4412,1.28,2039,39.12,5364,55.47,1338,0.48,302,0.22,2075,0.87,5293,38.71,5625,38.59,2739,0.59,7921,39.23,5242
E01000049,00AB,Barking and Dagenham,H,London,50.44,2204,0.39,1372,0.21,3302,0.98,4651,52.45,2765,33.34,5067,1.1,3145,27.45,9879,50.33,2247,0.45,1035,0.17,4881,0.71,7075,47.81,3593,35.99,3696,1.2,2479,41.6,4638,44.56,3328,0.39,1377,0.16,5799,0.48,9340,37.08,6051,40.15,2253,0.79,5604,32.94,7345
E01000050,00AB,Barking and Dagenham,H,London,28.18,8969,0.21,7283,0.12,10085,0.44,10082,19.15,13940,29.49,7514,0.81,5712,22.43,12450,31.02,7775,0.24,6709,0.13,8520,0.7,7185,24.97,10546,25.54,10722,0.42,10174,38.68,5504,34.65,6339,0.24,6101,0.13,7968,0.66,7287,17.83,14893,28.28,8530,1.26,1906,40.17,4947
E01000051,00AB,Barking and Dagenham,H,London,50.28,2242,0.4,1262,0.22,2715,1.04,4185,45.23,4037,31.96,5888,0.79,5912,35.92,6336,53.94,1632,0.49,658,0.23,1769,0.96,4802,42.07,4784,28.98,7875,0.34,11233,53.92,1916,53.9,1557,0.45,578,0.22,2061,0.96,4490,35.28,6566,32.25,5706,0.4,10381,54.34,1792
E01000052,00AB,Barking and Dagenham,H,London,25.62,10279,0.18,9166,0.11,11126,0.19,13353,25.97,10034,32.02,5846,-0.22,19244,31.63,7993,28.09,9055,0.23,7353,0.12,9777,0.29,12068,27.05,9575,30.43,6870,0.17,13683,30.62,8350,29.24,8534,0.23,6545,0.12,9633,0.38,10579,20.37,13154,32.37,5636,0.34,11356,33.07,7291
E01000053,00AB,Barking and Dagenham,H,London,31.83,7392,0.24,5954,0.12,10059,0.83,5886,29.11,8601,33.19,5159,0.55,8607,19.46,14316,34.05,6612,0.31,4017,0.14,7710,0.61,8139,28.58,8894,25.96,10337,0.74,6254,27.9,9533,32.75,7023,0.28,4401,0.14,7246,0.39,10532,26.02,10062,26.62,9900,0.81,5412,23.47,11701
E01000054,00AB,Barking and Dagenham,H,London,30.01,8127,0.19,8064,0.13,9077,0.53,9057,48.11,3497,27.28,9291,-0.18,18726,25.95,10635,34.19,6574,0.24,6748,0.16,5846,0.46,9875,45.36,4066,25.75,10533,0.53,8737,30.82,8277,29.77,8295,0.23,7055,0.13,8224,0.09,14682,39.28,5480,27.49,9167,0.41,10234,25.98,10364
E01000055,00AB,Barking and Dagenham,H,London,31.35,7576,0.24,5956,0.12,9830,0.56,8671,52.43,2766,27.67,8948,-0.36,21207,22.39,12473,32.31,7250,0.26,5823,0.14,7321,0.66,7709,39.12,5482,25.12,11081,0.21,13084,26.31,10283,29.71,8317,0.24,6154,0.12,9327,0.17,13604,35.67,6449,27.46,9201,0.59,7905,22.12,12469
E01000056,00AB,Barking and Dagenham,H,London,34.65,6342,0.28,4152,0.12,9626,0.63,7932,47.46,3615,36.04,3679,0.11,14601,16.34,16612,38.25,5189,0.31,4077,0.15,6721,0.75,6736,48.81,3429,33.26,5062,0.61,7757,20.62,13421,37.71,5285,0.31,3475,0.14,7404,0.52,8898,38.62,5644,35.52,4028,0.82,5324,22.74,12109
E01000057,00AB,Barking and Dagenham,H,London,32.25,7234,0.22,6842,0.12,10390,0.6,8296,47.41,3625,27.06,9473,0.41,10425,33.48,7273,36.89,5599,0.29,4944,0.14,7364,0.72,7056,39.66,5338,24.22,11906,1.01,3788,37.6,5860,38.86,4910,0.3,3691,0.13,7854,0.45,9817,40.92,5074,26.22,10288,1.31,1694,36.88,5959
E01000058,00AB,Barking and Dagenham,H,London,28.64,8752,0.19,8445,0.11,11263,0.37,10977,51.6,2890,27.04,9485,0.05,15491,21.94,12745,35.8,5978,0.26,6055,0.15,6715,0.71,7104,49.63,3288,25.06,11149,0.71,6609,28.22,9383,37.36,5393,0.28,4419,0.15,6063,0.7,6904,48.65,3412,26.67,9863,0.49,9242,28.11,9340
E01000059,00AB,Barking and Dagenham,H,London,31.14,7659,0.22,6961,0.13,9425,0.47,9736,41.46,4827,30.16,7070,0.31,11883,28.13,9583,34.78,6382,0.27,5722,0.13,8366,0.67,7514,40.7,5096,26.76,9677,0.69,6861,37.71,5828,34.55,6376,0.26,5532,0.13,7902,0.72,6640,32.75,7369,28.58,8285,0.75,6069,32.37,7572
E01000060,00AB,Barking and Dagenham,H,London,34.69,6331,0.25,5269,0.15,7137,0.74,6804,42.75,4534,26.91,9613,0.71,6742,18.48,14986,40.16,4610,0.28,5170,0.19,3739,0.76,6577,37.72,5849,25.22,10996,1.26,2120,28.32,9342,42,3969,0.33,2730,0.16,5423,0.59,8099,37.9,5826,27.93,8799,1.42,1211,26.48,10114
E01000061,00AB,Barking and Dagenham,H,London,53.75,1648,0.47,516,0.2,3701,1.11,3707,55.15,2386,32.64,5516,0.93,4465,30.43,8531,58.28,1082,0.52,388,0.21,2554,1.12,3536,60.59,1752,28.48,8250,1.27,2078,35.59,6530,51.26,1959,0.46,472,0.19,3236,0.94,4629,47.11,3717,31.19,6362,0.37,10838,35.18,6531
E01000062,00AB,Barking and Dagenham,H,London,23.64,11320,0.18,8754,0.1,13535,0.46,9866,30.11,8234,24.6,11687,-0.22,19209,18.22,15165,31.47,7594,0.25,6294,0.13,8275,0.7,7190,28.34,9010,22.59,13577,0.74,6245,29.3,8911,33.29,6806,0.29,4141,0.13,8760,0.3,11726,33.7,7057,23.96,12411,0.87,4798,30.35,8361
